GNI (current US$),NY.GNP.MKTP.CD,,,
Average grace period on new external debt commitments (years),DT.GPA.DPPG,,,
"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,, Which country owe the most in long-term debt
"Present value of debt (% of exports of goods, services and primary income)",DT.DOD.PVLX.EX.ZS,,,
Present value of debt (% of GNI),DT.DOD.PVLX.GN.ZS,,,
Present value of external debt (current US$),DT.DOD.PVLX.CD,,,
"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,
Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,"rimary income on foreign direct investment covers payments of direct investment income (debit side), which consist of income on equity (dividends, branch profits, and reinvested earnings) and income on the intercompany debt (interest). Data are in current U.S. dollars."
Principal rescheduled (current US$),DT.AXR.DPPG.CD,,,
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,,,"Total debt service to exports of goods, services and primary income. Total debt service is the sum of principal repayments and interest actually paid in currency, goods, or services on long-term debt, interest paid on short-term debt, and repayments (repurchases and charges) to the IMF."
Total change in external debt stocks (current US$),DT.DOD.DECT.CD.CG,,,"Total external debt is debt owed to nonresidents repayable in currency, goods, or services. It is the sum of public, publicly guaranteed, and private nonguaranteed long-term debt, short-term debt, and use of IMF credit. Data are in current U.S. dollars."
Total amount of debt rescheduled (current US$),DT.TXR.DPPG.CD,,,"Total amount of debt rescheduled includes the debt stock, principal, interest, charges and penalties rescheduled. Data are in current U.S. dollars."
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,,,
Principal forgiven (current US$),DT.AXF.DPPG.CD,,,"Principal forgiven is the amount of principal due or in arrears that was written off or forgiven in any given year. It includes debt forgiven within and outside Paris Club agreements, principal forgiven and principal arrears forgiven. Data are in current U.S. dollars."
"Personal transfers and compensation of employees, received (current US$)",BX.TRF.PWKR.CD.DT,,,
"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,
"Interest payments on external debt, short-term (INT, current US$)",DT.INT.DSTC.CD,,,
"Interest payments on external debt (% of exports of goods, services and primary income)",DT.INT.DECT.EX.ZS,,,
Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,,,
"Imports of goods, services and primary income (current US$)",BM.GSR.TOTL.CD,,,
"Foreign direct investment, net inflows in reporting economy (DRS, current US$)",BX.KLT.DINV.CD.DT,,,
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,"otal external debt is debt owed to nonresidents repayable in currency, goods, or services. It is the sum of public, publicly guaranteed, and private nonguaranteed long-term debt, short-term debt, and use of IMF credit. Data are in current U.S. dollars."
External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,
"Average maturity on new external debt commitments, official (years)",DT.MAT.OFFT,,,
"Average interest on new external debt commitments, official (%)",DT.INR.OFFT,,,
